Vector,PAA Frames,APCA Frames,PAA Eu,APCA Eu,Eu Diff,PAA Dtw,APCA Dtw,Dtw Dif,PAA tik,APCA Tik,Tik Dif
0,20,10,21.9456,22.3837,-0.438044,388.639,396.51,-7.8711,233,10916,-10683
1,20,10,21.7617,22.6401,-0.878447,386.525,406.362,-19.8365,174,9949,-9775
2,20,10,22.3092,19.0738,3.23532,316.073,271.678,44.395,179,9686,-9507
3,20,10,22.1233,22.3534,-0.230088,380.186,384.698,-4.51222,184,9530,-9346
4,20,10,21.9075,22.4365,-0.528939,384.668,400.607,-15.9387,174,9748,-9574
5,20,10,21.9757,22.3481,-0.372336,389.466,404.867,-15.4012,246,9649,-9403
6,20,10,21.9633,22.4887,-0.525447,376.181,393.161,-16.9804,174,9552,-9378
7,20,10,21.6298,22.2301,-0.600251,374.591,385.911,-11.3205,180,9954,-9774
8,20,10,22.0505,22.3864,-0.335956,379.727,395.808,-16.0808,175,10661,-10486
9,20,10,22.1722,22.31,-0.137777,392.801,397.318,-4.51722,174,9802,-9628
10,20,10,21.7403,22.3633,-0.622999,397.822,413.067,-15.2454,174,9571,-9397
11,20,10,22.2162,22.5341,-0.317872,396.442,399.729,-3.28687,174,9965,-9791
12,20,10,22.1837,22.3213,-0.137644,403.258,408.91,-5.6519,179,9683,-9504
13,20,10,22.1562,22.3729,-0.216765,417.091,421.213,-4.12107,174,9783,-9609
14,20,10,21.8335,22.4373,-0.603808,398.907,414.34,-15.433,181,9390,-9209
15,20,10,21.9928,22.381,-0.388197,400.143,408.148,-8.00436,408,9568,-9160
16,20,10,21.847,22.1858,-0.338757,337.568,321.34,16.2283,208,9415,-9207
17,20,10,22.0276,22.3684,-0.340759,399.315,408.533,-9.21807,175,9405,-9230
18,20,10,22.0034,22.3432,-0.339856,387.044,399.17,-12.1266,174,9357,-9183
19,20,10,21.7992,22.3464,-0.547186,372.41,389.466,-17.0563,193,9396,-9203
20,20,10,22.0162,22.2592,-0.242968,395.418,394.558,0.859809,193,9167,-8974
21,20,10,22.2833,22.2556,0.0277118,376.784,370.671,6.11331,174,9714,-9540
22,20,10,22.1666,22.2802,-0.113574,405.743,413.285,-7.54251,174,9898,-9724
23,20,10,22.2436,22.325,-0.0813676,403.825,404.483,-0.657319,185,10002,-9817
24,20,10,22.0458,22.2798,-0.234029,394.293,406.641,-12.3477,268,9564,-9296
25,20,10,22.2994,22.1725,0.126881,379.252,374.445,4.80714,207,16985,-16778
26,20,10,22.1856,22.2185,-0.0329675,412.891,412.587,0.303975,184,9764,-9580
27,20,10,22.1684,22.3348,-0.166458,408.804,414.368,-5.56359,184,11389,-11205
28,20,10,22.202,23.3255,-1.12352,358.437,360.845,-2.40741,184,10368,-10184
29,20,10,22.2461,22.2592,-0.0130805,389.415,391.007,-1.59175,572,10642,-10070
30,20,10,22.0686,22.4487,-0.380033,392.631,398.907,-6.27572,174,9643,-9469
31,20,10,22.0877,22.2983,-0.210633,383.565,390.959,-7.394,191,9609,-9418
32,20,10,21.9607,22.4189,-0.458252,386.087,393.119,-7.03172,184,9834,-9650
33,20,10,22.0226,21.7545,0.268135,380.447,369.602,10.8446,175,9256,-9081
34,20,10,21.9325,23.6602,-1.72762,363.436,402.151,-38.715,191,10112,-9921
35,20,10,22.0766,22.2115,-0.134911,391.223,391.957,-0.734474,183,11775,-11592
36,20,10,22.0331,22.3393,-0.306249,385.368,393.761,-8.39249,179,10411,-10232
