frame,apcaDur,paaDur,difDue
0,21441,324,-21117
1,20273,315,-19958
2,27760,312,-27448
3,21297,503,-20794
4,24150,881,-23269
5,20973,323,-20650
6,20330,312,-20018
7,20892,310,-20582
8,20028,314,-19714
9,18934,309,-18625
10,20955,293,-20662
11,20232,346,-19886
12,20427,355,-20072
13,21977,320,-21657
14,24528,301,-24227
15,22479,379,-22100
16,22766,323,-22443
17,20855,311,-20544
18,23584,401,-23183
19,21403,310,-21093
20,19051,312,-18739
21,18548,310,-18238
22,18837,317,-18520
23,19029,312,-18717
24,18587,328,-18259
25,19702,301,-19401
26,21278,301,-20977
27,23857,303,-23554
28,20241,332,-19909
29,20754,303,-20451
30,20567,316,-20251
31,20489,326,-20163
32,19712,311,-19401
33,18825,301,-18524
34,18872,309,-18563
35,21531,304,-21227
36,23741,388,-23353
37,21830,352,-21478
38,24216,310,-23906
39,21666,357,-21309
40,21042,388,-20654
41,20857,307,-20550
42,20392,865,-19527
43,21581,311,-21270
44,19671,311,-19360
45,19759,328,-19431
46,21883,317,-21566
47,19711,302,-19409
48,17949,300,-17649
49,18805,300,-18505
50,29436,319,-29117
51,22079,394,-21685
52,20595,310,-20285
53,19695,309,-19386
54,18732,395,-18337
55,21148,310,-20838
56,19042,309,-18733
57,20429,362,-20067
58,20316,379,-19937
59,23139,300,-22839
60,21974,600,-21374
61,20051,302,-19749
62,19141,311,-18830
63,18815,309,-18506
64,19524,310,-19214
65,19747,310,-19437
66,21287,390,-20897
67,21392,379,-21013
68,22890,482,-22408
69,21276,302,-20974
70,19116,309,-18807
71,19040,310,-18730
72,18991,309,-18682
73,19790,309,-19481
74,19168,301,-18867
75,19278,312,-18966
76,20112,357,-19755
77,20947,294,-20653
78,21281,494,-20787
79,22244,541,-21703
80,20290,487,-19803
81,20309,300,-20009
82,20739,933,-19806
83,19281,311,-18970
84,20728,293,-20435
85,20387,293,-20094
86,22248,424,-21824
87,19889,332,-19557
88,19919,303,-19616
89,18978,547,-18431
90,19045,314,-18731
91,18962,336,-18626
92,19047,321,-18726
93,19021,293,-18728
94,20805,424,-20381
95,19000,301,-18699
96,18589,292,-18297
97,18584,334,-18250
98,20104,356,-19748
99,19552,302,-19250
100,18428,303,-18125
101,19043,292,-18751
102,18121,300,-17821
103,18768,355,-18413
104,21519,294,-21225
105,24088,344,-23744
106,18884,300,-18584
107,18700,301,-18399
108,18557,309,-18248
109,19504,316,-19188
110,17942,309,-17633
111,17737,293,-17444
112,20496,292,-20204
113,19925,348,-19577
114,18989,331,-18658
115,19432,300,-19132
116,21938,321,-21617
117,18855,311,-18544
118,19402,309,-19093
119,19548,301,-19247
120,19264,302,-18962
121,19179,293,-18886
122,18833,523,-18310
123,18209,311,-17898
124,19015,292,-18723
125,18054,293,-17761
126,18859,314,-18545
127,18399,297,-18102
128,18408,293,-18115
129,18798,293,-18505
130,19628,313,-19315
131,18587,297,-18290
132,18430,296,-18134
133,18201,292,-17909
134,18150,293,-17857
135,19435,293,-19142
136,19197,293,-18904
137,18331,292,-18039
138,18281,315,-17966
139,19736,292,-19444
140,22965,362,-22603
141,19682,342,-19340
142,18276,308,-17968
143,19319,359,-18960
144,18828,300,-18528
145,18622,292,-18330
146,19411,292,-19119
147,18082,300,-17782
148,18790,293,-18497
149,18859,329,-18530
150,18815,315,-18500
151,18196,292,-17904
152,18403,313,-18090
153,18641,364,-18277
154,18384,293,-18091
155,19157,314,-18843
156,18895,380,-18515
157,18480,313,-18167
158,19341,308,-19033
159,18989,311,-18678
160,18379,309,-18070
161,19122,332,-18790
162,18679,301,-18378
163,18226,300,-17926
164,18181,300,-17881
165,18824,334,-18490
166,19138,296,-18842
167,19571,292,-19279
168,19560,293,-19267
169,18698,303,-18395
170,17974,292,-17682
171,20236,293,-19943
172,18033,293,-17740
173,18296,292,-18004
174,19844,293,-19551
175,18620,292,-18328
176,19441,301,-19140
177,18816,314,-18502
178,17930,301,-17629
179,18222,293,-17929
180,19329,293,-19036
181,18185,355,-17830
182,19615,459,-19156
183,18173,437,-17736
184,18053,292,-17761
185,19011,295,-18716
186,20408,300,-20108
187,19402,400,-19002
188,18980,322,-18658
189,18796,419,-18377
190,18568,293,-18275
191,18825,324,-18501
192,20894,476,-20418
193,21076,422,-20654
194,25627,302,-25325
195,21167,301,-20866
196,20685,313,-20372
197,20675,376,-20299
198,21554,342,-21212
199,19632,331,-19301
200,18768,300,-18468
201,18307,303,-18004
202,19476,292,-19184
203,19884,300,-19584
204,18787,362,-18425
205,18016,292,-17724
206,18170,292,-17878
207,20441,303,-20138
208,20413,343,-20070
209,20196,327,-19869
210,18731,309,-18422
211,20735,308,-20427
212,20481,311,-20170
213,19821,335,-19486
214,18787,308,-18479
215,18661,311,-18350
216,19059,302,-18757
217,19284,330,-18954
218,19252,292,-18960
219,18774,292,-18482
220,19892,476,-19416
221,19195,327,-18868
222,18972,333,-18639
223,18802,323,-18479
224,19878,293,-19585
225,18365,293,-18072
226,18899,294,-18605
227,18723,292,-18431
228,18540,308,-18232
229,19432,340,-19092
