Vector,PAA Frames,APCA Frames,PAA Eu,APCA Eu,Eu Diff,PAA Dtw,APCA Dtw,Dtw Dif,PAA tik,APCA Tik,Tik Dif
0,42,21,4.99762,12.426,-7.42841,301.995,212.384,89.6115,390,23692,-23302
1,42,21,6.11151,15.1928,-9.08131,464.947,310.519,154.428,365,23180,-22815
2,42,21,5.57121,14.4397,-8.86853,383.709,274.433,109.275,354,24981,-24627
3,42,21,6.51762,17.8107,-11.2931,590.996,438.452,152.544,334,23612,-23278
4,42,21,6.31252,15.4583,-9.14582,544.255,350.132,194.123,344,23970,-23626
5,42,21,7.5132,17.0372,-9.524,573.089,381.632,191.457,365,23332,-22967
6,42,21,6.38915,9.02609,-2.63693,398.121,203.116,195.005,323,22482,-22159
7,42,21,5.47531,15.0747,-9.59936,384.274,278.48,105.793,341,23737,-23396
8,42,21,6.01629,17.4493,-11.433,480.73,334.534,146.195,332,23180,-22848
9,42,21,3.79954,5.89728,-2.09774,285.837,144.994,140.843,343,22652,-22309
10,42,21,9.69258,13.6879,-3.99535,488.153,321.714,166.439,367,23974,-23607
11,42,21,6.30581,14.7248,-8.41894,493.566,342.872,150.694,345,22665,-22320
12,42,21,5.36411,25.2641,-19.9,359.788,383.327,-23.5394,356,22580,-22224
13,42,21,4.61824,15.4255,-10.8072,368.222,299.696,68.5253,324,23271,-22947
14,42,21,4.82592,16.1243,-11.2984,427.954,345.322,82.6315,323,23789,-23466
15,42,21,5.08201,10.1733,-5.0913,396.345,212.564,183.781,324,22687,-22363
16,42,21,6.90933,21.2703,-14.361,490.536,419.523,71.0132,331,24279,-23948
17,42,21,4.58449,10.8696,-6.2851,401.841,259.626,142.215,324,22263,-21939
18,42,21,7.19515,22.9393,-15.7442,464.764,408.271,56.4932,323,22556,-22233
19,42,21,7.39269,15.9601,-8.56741,475.036,355.399,119.637,387,22991,-22604
20,42,21,4.96526,11.8951,-6.9298,416.007,248.546,167.46,333,23778,-23445
21,42,21,5.33288,18.3086,-12.9757,425.691,344.895,80.7967,341,24136,-23795
22,42,21,5.4014,22.6245,-17.2231,422.041,416.972,5.06872,323,24330,-24007
23,42,21,7.34213,13.483,-6.14092,503.503,336.884,166.619,336,23122,-22786
24,42,21,5.7253,11.1291,-5.40379,483.992,266.649,217.343,323,22589,-22266
25,42,21,6.36753,14.8288,-8.46129,462.912,311.948,150.963,335,25156,-24821
26,42,21,7.08168,18.337,-11.2553,593.079,424.014,169.065,344,24168,-23824
27,42,21,5.68564,8.96935,-3.28371,423.773,222.602,201.171,342,22933,-22591
28,42,21,5.18217,6.29116,-1.10899,324.946,146.093,178.853,331,23247,-22916
29,42,21,9.98631,20.7076,-10.7213,529.17,471.479,57.691,340,25456,-25116
30,42,21,5.05818,14.7537,-9.69556,390.158,272.422,117.736,375,22600,-22225
31,42,21,6.04654,23.5316,-17.4851,383.646,410.435,-26.7889,375,23402,-23027
32,42,21,4.72951,7.28066,-2.55115,355.298,169.195,186.102,323,24514,-24191
33,42,21,7.18752,18.2609,-11.0734,501.364,359.736,141.628,324,22478,-22154
34,42,21,6.76049,18.0431,-11.2826,564.027,395.451,168.576,353,24159,-23806
35,42,21,5.07314,13.3146,-8.24151,343.833,219.8,124.033,377,23283,-22906
36,42,21,3.63237,9.48187,-5.8495,316.473,184.662,131.811,350,23012,-22662
37,42,21,7.46267,12.8922,-5.42957,535.732,296.147,239.585,342,23571,-23229
38,42,21,3.73057,12.8194,-9.08884,304.011,239.454,64.5568,380,22503,-22123
39,42,21,6.23233,18.2509,-12.0186,355.491,265.075,90.4163,332,23024,-22692
40,42,21,6.35052,15.0597,-8.70914,479.659,348.921,130.739,337,24548,-24211
41,42,21,5.97199,8.49761,-2.52562,378.995,195.168,183.828,327,22173,-21846
42,42,21,6.09569,17.8927,-11.797,508.062,361.472,146.59,324,23407,-23083
43,42,21,4.18676,25.5208,-21.334,392.407,467.834,-75.4274,334,22631,-22297
44,42,21,5.97203,22.7089,-16.7368,427.816,389.074,38.7413,323,23053,-22730
45,42,21,5.77641,14.037,-8.26056,446.336,276.706,169.629,323,23555,-23232
46,42,21,6.35812,12.6841,-6.32596,437.737,273.584,164.153,342,23877,-23535
47,42,21,7.17048,13.5325,-6.36205,495.402,294.98,200.423,360,23735,-23375
48,42,21,5.00089,11.7816,-6.78075,419.188,266.181,153.007,323,23979,-23656
49,42,21,7.41947,17.3509,-9.93139,565.553,418.722,146.83,519,22577,-22058
50,42,21,5.28439,12.586,-7.30158,373.604,258.031,115.573,324,23095,-22771
51,42,21,5.30433,16.8801,-11.5758,522.282,352.246,170.036,324,24416,-24092
52,42,21,4.62898,9.66397,-5.03499,384.026,217.839,166.187,334,23990,-23656
