vector,PAA Frames,APCA Frames,PAA Eu,APCAA Eu,Dif Eu,PAA Dtw,APCA Dtw,Dif Dtw,PAA tik,APCA tik,Dif tik
0,80,40,146.877,320.848,-173.971,4593.72,10921.5,-6327.8,621,66025,-65404
1,80,40,149.426,318.853,-169.427,4646.54,10940.5,-6293.93,623,62924,-62301
2,80,40,154.724,340.294,-185.569,4855.83,11415.6,-6559.76,619,63020,-62401
3,80,40,153.66,337.04,-183.381,4808.53,11806.6,-6998.11,625,63164,-62539
4,80,40,40.2266,87.0867,-46.8601,1404.85,2883.35,-1478.5,626,65120,-64494
5,80,40,38.4836,79.9996,-41.516,1343.66,2624.18,-1280.52,669,62617,-61948
6,80,40,44.9733,97.1348,-52.1615,1513.63,3290.57,-1776.94,628,61245,-60617
7,80,40,45.6604,92.4032,-46.7428,1536.34,3117.61,-1581.27,633,62828,-62195
8,80,40,283.678,485.383,-201.705,8661.69,15730.7,-7069.02,616,63883,-63267
9,80,40,289.622,481.805,-192.182,8866.12,17026.6,-8160.45,631,64352,-63721
10,80,40,317.959,498.313,-180.354,9697.83,17579.1,-7881.23,645,65035,-64390
11,80,40,314.926,528.699,-213.772,9637.64,18002.9,-8365.29,829,63917,-63088
12,80,40,167.471,345.435,-177.964,5079.85,11196.2,-6116.33,634,65480,-64846
13,80,40,175.802,383.79,-207.988,5437.55,12922.7,-7485.2,633,62672,-62039
14,80,40,154.844,351.972,-197.129,4540.87,11580.5,-7039.63,635,62905,-62270
15,80,40,164.118,312.575,-148.457,4798.14,10451.1,-5652.91,628,63583,-62955
16,80,40,166.589,325.038,-158.449,4891.07,11339.2,-6448.13,599,63097,-62498
17,80,40,162.853,279.731,-116.877,4926.81,9786.91,-4860.1,610,64296,-63686
18,80,40,151.065,282.422,-131.356,4619.18,9735.64,-5116.46,655,63083,-62428
19,80,40,151.853,277.676,-125.823,4686.09,9551.57,-4865.47,642,64996,-64354
20,80,40,187.614,360.44,-172.826,5414.47,12310.9,-6896.46,622,63616,-62994
21,80,40,185.207,389.141,-203.934,5389.13,13271.7,-7882.54,658,62513,-61855
22,80,40,195.322,381.702,-186.38,5256.13,12296.7,-7040.59,785,64897,-64112
23,80,40,174.21,349.643,-175.433,4958.13,11728.2,-6770.03,643,64043,-63400
24,80,40,187.762,366.85,-179.088,5911.77,12854.3,-6942.55,635,63270,-62635
25,80,40,207.167,388.039,-180.872,6638.86,12983.3,-6344.44,629,68207,-67578
26,80,40,217.736,384.023,-166.287,6976.88,13011.3,-6034.46,627,66444,-65817
27,80,40,221.15,386.26,-165.11,7124.22,13442.5,-6318.27,629,64876,-64247
28,80,40,165.589,332.753,-167.165,4802.69,10644.3,-5841.6,640,65012,-64372
29,80,40,171.769,333.013,-161.244,4916.61,10840.2,-5923.64,630,63601,-62971
30,80,40,154.663,306.2,-151.537,4517.19,9661.24,-5144.05,602,65720,-65118
31,80,40,163.924,327.074,-163.149,4629.9,10574.1,-5944.2,636,63549,-62913
32,80,40,225.907,501.924,-276.017,6888.44,15665.6,-8777.12,596,63204,-62608
33,80,40,227.426,489.431,-262.005,6858.15,15399.3,-8541.16,596,65944,-65348
34,80,40,228.832,505.402,-276.57,7033.82,16744,-9710.21,869,63813,-62944
35,80,40,231.625,458.499,-226.874,7115.58,15306.6,-8190.98,606,62446,-61840
36,80,40,184.497,366.66,-182.163,5484.96,10599,-5114.03,671,61931,-61260
37,80,40,179.056,403.484,-224.428,5350.18,12788.6,-7438.37,596,62697,-62101
38,80,40,172.313,390.47,-218.157,5119.14,11945.4,-6826.3,598,64068,-63470
39,80,40,170.799,421.594,-250.795,5030.35,13554.2,-8523.84,615,67551,-66936
40,80,40,252.742,515.503,-262.762,7511.19,17269.2,-9758.05,651,64062,-63411
41,80,40,242.809,434.378,-191.569,7449.19,13887,-6437.78,637,63734,-63097
42,80,40,195.96,456.484,-260.524,5817.67,14322.9,-8505.19,763,67653,-66890
43,80,40,196.589,454.233,-257.644,5564.72,13992.9,-8428.14,617,62458,-61841
44,80,40,188.624,398.328,-209.704,5853.91,13082.5,-7228.58,624,62024,-61400
45,80,40,183.214,386.548,-203.334,5717.56,13140.9,-7423.37,622,65136,-64514
46,80,40,171.318,369.677,-198.359,5516.47,12885.7,-7369.26,603,64676,-64073
47,80,40,177.378,366.317,-188.939,5553.67,12628.7,-7074.99,659,62064,-61405
48,80,40,159.911,326.851,-166.94,4653.47,11512.4,-6858.97,630,64100,-63470
49,80,40,158.073,325.4,-167.328,4625.75,11210,-6584.22,601,64262,-63661
50,80,40,158.56,349.114,-190.554,4909.95,12091,-7181.02,617,60969,-60352
51,80,40,164.863,351.641,-186.778,4987.64,12149.8,-7162.19,626,63331,-62705
52,80,40,185.98,331.354,-145.375,6052.78,11511.7,-5458.95,596,63401,-62805
53,80,40,175.868,322.689,-146.821,5733.07,11717,-5983.9,598,63728,-63130
54,80,40,182.567,306.187,-123.62,5896.44,10736.6,-4840.14,596,63144,-62548
55,80,40,184.167,319.429,-135.263,5960.1,11456.9,-5496.77,644,62988,-62344
56,80,40,164.76,305.035,-140.275,4909.82,10555.5,-5645.66,597,63657,-63060
57,80,40,157.923,269.432,-111.51,4729.46,9071.99,-4342.52,634,61624,-60990
58,80,40,160.669,280.309,-119.64,4867.37,9576.95,-4709.58,639,62214,-61575
59,80,40,156.859,280.263,-123.405,4660.83,9566.95,-4906.12,611,62803,-62192
